AACG,14-May-2021,2.63,2.76,2.61,2.75,59800
AACQ,14-May-2021,9.87,9.9,9.85,9.85,747900
AACQU,14-May-2021,10.4034,10.4034,10.28,10.3757,3500
AACQW,14-May-2021,1.68,1.68,1.48,1.54,73600
AAL,14-May-2021,21.43,22.48,21.43,22.4,39169700
AAME,14-May-2021,4.14,4.25,4.1,4.13,29100
AAOI,14-May-2021,7.24,7.53,7.11,7.47,430100
AAON,14-May-2021,66.56,68.83,66.0564,68.64,135800
AAPL,14-May-2021,126.25,127.89,125.85,127.45,81873100
AAWW,14-May-2021,73.51,74.1,72.78,74.08,285500
AAXJ,14-May-2021,90.33,90.94,90.06,90.77,2823000
ABCB,14-May-2021,56.35,57.05,55.89,56.935,367300
ABCL,14-May-2021,31.75,32.88,30.5,31.75,902100
ABCM,14-May-2021,19.81,20.45,19.695,20.11,78000
ABEO,14-May-2021,1.3,1.45,1.29,1.38,1446500
ABGI,14-May-2021,9.81,9.88,9.81,9.88,700
ABIO,14-May-2021,3.14,3.29,3.1,3.23,248000
ABMD,14-May-2021,266.28,272.92,261.271,268.56,262400
ABNB,14-May-2021,137.68,142.25,131.67,141.2,20322100
ABST,14-May-2021,14.59,15.075,14.52,14.57,41400
ABTX,14-May-2021,40.79,41,40.47,40.98,26100
ABUS,14-May-2021,2.5701,2.665,2.54,2.62,719500
ACAC,14-May-2021,9.97,9.98,9.92,9.96,28100
ACACU,14-May-2021,10.31,10.595,10.31,10.535,3600
ACACW,14-May-2021,1.69,1.7,1.61,1.7,39800
ACAD,14-May-2021,21.27,21.94,20.87,21.77,1366400
ACAH,14-May-2021,9.72,9.72,9.72,9.72,200
ACAHW,14-May-2021,0.6202,0.6651,0.62,0.6651,4600
ACBAU,14-May-2021,10.15,10.15,10.15,10.15,100
ACBI,14-May-2021,27.34,27.74,27.0528,27.62,36700
ACCD,14-May-2021,39.21,44.09,38.85,42.51,807300
ACER,14-May-2021,2.59,2.66,2.52,2.63,58600
ACET,14-May-2021,12.91,14.09,12.91,13.42,89800
ACEV,14-May-2021,9.91,9.97,9.91,9.96,108400
ACEVW,14-May-2021,1.77,1.93,1.77,1.8501,28700
ACGL,14-May-2021,40.26,40.45,39.95,40.19,2324100
ACGLO,14-May-2021,26.155,26.3,26.155,26.28,5900
ACGLP,14-May-2021,25.43,25.45,25.39,25.45,13100
ACHC,14-May-2021,63.89,65.85,63.71,65.62,592400
ACHL,14-May-2021,12.92,13.3531,12.63,13.03,5800
ACHV,14-May-2021,9.29,10.04,9.29,9.41,95800
ACIU,14-May-2021,6.15,6.35,6.15,6.21,108400
ACIW,14-May-2021,39.96,40.08,39.66,39.84,767000
ACKIU,14-May-2021,10.2,10.2,10.2,10.2,1500
ACKIW,14-May-2021,0.548,0.5999,0.538,0.5999,6600
ACLS,14-May-2021,38.31,38.65,37.24,38.3,182100
ACMR,14-May-2021,65.51,65.99,63.65,64.84,251000
ACNB,14-May-2021,28.5,28.93,28.29,28.53,12600
ACOR,14-May-2021,4.34,4.55,4.22,4.49,122600
ACQRU,14-May-2021,9.98,10,9.9741,9.98,94700
ACRS,14-May-2021,21.41,22.03,20.68,21.19,606600
ACRX,14-May-2021,1.03,1.17,1.03,1.16,1930600
ACST,14-May-2021,0.44,0.458,0.4314,0.436,6035300
ACTC,14-May-2021,13.65,14.08,13.33,13.96,876400
ACTCU,14-May-2021,15.8431,16.145,15.585,15.72,3300
ACTCW,14-May-2021,3.8,3.96,3.54,3.79,234000
ACTDU,14-May-2021,10.04,10.0592,9.99,10,1172900
ACTG,14-May-2021,5.48,5.54,5.38,5.48,407000
ACVA,14-May-2021,28.03,29.49,25.62,28.45,1451000
ACWI,14-May-2021,98.39,99.26,98.38,99.08,16310400
ACWX,14-May-2021,56.61,57.11,56.61,57.07,2452000
ADAG,14-May-2021,12.8,13.1654,12.55,12.7,3700
ADAP,14-May-2021,4.56,4.85,4.56,4.82,424800
ADBE,14-May-2021,481.63,488.33,478.69,486.56,1857100
ADER,14-May-2021,9.71,9.79,9.7,9.76,351700
ADERU,14-May-2021,9.99,10.15,9.99,10.15,367600
ADERW,14-May-2021,0.78,0.8599,0.78,0.85,243800
ADES,14-May-2021,5.3,5.3,5.2,5.25,298900
ADI,14-May-2021,147.99,150.77,146.63,149.61,4852000
ADIL,14-May-2021,2.02,2.38,1.98,2.35,214800
ADILW,14-May-2021,0.679,0.679,0.61,0.6109,11200
ADMA,14-May-2021,1.63,1.79,1.61,1.72,2924800
ADMP,14-May-2021,0.6769,0.7135,0.6769,0.7093,1914700
