A,14-May-2021,130.47,131.69,130.45,131.15,775000
AA,14-May-2021,39.1,39.98,38.65,39.7,4717400
AAC,14-May-2021,9.82,9.83,9.76,9.82,165500
AAC.U,14-May-2021,9.99,10.05,9.99,9.99,160400
AAC.W,14-May-2021,0.9,1.02,0.9,0.95,44200
AAI-B,14-May-2021,24.61,24.61,24.39,24.5,2600
AAI-C,14-May-2021,24.16,24.39,24.14,24.3165,2900
AAIC,14-May-2021,4,4.07,4,4.05,191400
AAN,14-May-2021,31.51,32.98,31.14,32.57,247800
AAP,14-May-2021,205.76,206.46,201.14,202.81,602700
AAQ.U,14-May-2021,9.96,10.02,9.96,10.0054,49400
AAQ.W,14-May-2021,0.79,0.83,0.76,0.76,8200
AAQC,14-May-2021,9.69,9.8,9.66,9.76,21700
AAT,14-May-2021,34.69,35.05,34.53,34.97,143300
AB,14-May-2021,43.52,45.01,43.52,44.37,324300
ABB,14-May-2021,33.85,34.32,33.78,34.22,1656200
ABBV,14-May-2021,117.36,117.59,116.38,116.43,6268300
ABC,14-May-2021,119.36,119.36,116.41,116.52,2472300
ABEV,14-May-2021,3.27,3.33,3.27,3.31,19361500
ABG,14-May-2021,202.48,210.59,201.46,209.85,97700
ABM,14-May-2021,52.89,53.52,52.6,53.45,261400
ABR,14-May-2021,17.56,17.72,17.4,17.66,1739100
ABR-A,14-May-2021,25.78,25.99,25.75,25.97,5500
ABR-B,14-May-2021,25.73,25.76,25.72,25.76,600
ABR-C,14-May-2021,26.26,26.26,26.12,26.2,2100
ABT,14-May-2021,117.99,118.82,117.33,118.31,3800400
AC,14-May-2021,35.33,36.48,35.33,36.48,6500
ACA,14-May-2021,61.64,62.94,61.15,62.88,200400
ACB,14-May-2021,6.75,7.09,6.59,6.86,14684700
ACC,14-May-2021,46.45,46.87,46.22,46.72,809300
ACCO,14-May-2021,9.76,9.77,9.6,9.65,444900
ACEL,14-May-2021,12.64,13.52,12.5,13.46,398300
ACH,14-May-2021,13.93,14.22,13.93,14.2,178600
ACI,14-May-2021,18.98,19.43,18.93,19.19,973900
ACI.S,14-May-2021,10,10.03,9.99,10,30900
ACI.T,14-May-2021,1,1,0.96,1,17000
ACI.U,14-May-2021,10.15,10.18,10.15,10.1701,1000
ACI.W,14-May-2021,1.08,1.18,1.08,1.155,64300
ACIC,14-May-2021,9.85,9.88,9.82,9.87,719700
ACII,14-May-2021,9.79,9.79,9.76,9.76,61200
ACM,14-May-2021,67.56,67.56,66.79,66.86,937100
ACN,14-May-2021,286.86,294.5,286.62,288.2,1285500
ACN.W,14-May-2021,1.3,1.4,1.3,1.39,11600
ACND,14-May-2021,9.9,9.93,9.9,9.9,224600
ACP,14-May-2021,12,12.25,12,12.22,142000
ACR,14-May-2021,14.41,14.58,14.26,14.33,59200
ACR-C,14-May-2021,25.35,25.51,25.27,25.5,27500
ACRE,14-May-2021,14.81,14.86,14.67,14.84,324600
ACV,14-May-2021,31.98,32.07,31.88,32,24300
ADC,14-May-2021,69.07,70.11,69.02,69.57,509000
ADCT,14-May-2021,21.29,22.3,20.76,21.23,317800
ADE.U,14-May-2021,9.96,9.96,9.96,9.96,400
ADE.W,14-May-2021,0.5,0.56,0.5,0.56,3400
ADEX,14-May-2021,9.7,9.71,9.66,9.7,5700
ADM,14-May-2021,67.56,67.89,67.29,67.66,1746200
ADNT,14-May-2021,48.07,48.79,47.08,48.61,452000
ADS,14-May-2021,116.94,121.04,114.39,120.6,430700
ADT,14-May-2021,9.39,9.39,9.22,9.3,2821200
ADX,14-May-2021,18.86,19.11,18.86,19.06,264600
AEB,14-May-2021,25.29,25.54,25.29,25.4,14100
AEE,14-May-2021,83.72,84.73,83.63,83.7,759700
AEFC,14-May-2021,26.12,26.4,26.07,26.3,38500
AEG,14-May-2021,4.86,4.91,4.85,4.89,1269800
AEL,14-May-2021,31.04,31.46,30.78,31.2,474500
AEL-A,14-May-2021,26.75,26.96,26.67,26.96,14900
AEL-B,14-May-2021,27.75,27.95,27.44,27.95,10800
AEM,14-May-2021,69.78,70.27,69.28,70.02,787200
AENZ,14-May-2021,1.71,1.72,1.65,1.69,165700
AEO,14-May-2021,34.81,36.69,34.65,36.56,2911000
AER,14-May-2021,56.03,58.15,55.66,57.66,939900
AES,14-May-2021,24.65,25.7,24.65,25.37,4893000
AESC,14-May-2021,101.97,104.44,101.97,104.44,12100
AEV.W,14-May-2021,1.83,2.3,1.83,2.04,82900
AEVA,14-May-2021,8.38,8.85,7.82,7.94,5529800
AFB,14-May-2021,14.38,14.44,14.32,14.37,50100
AFG,14-May-2021,129.16,130.3,128.41,130.17,446600
AFGB,14-May-2021,27.63,27.8,27.62,27.74,8100
AFGC,14-May-2021,26.77,26.87,26.77,26.79,4800
AFGD,14-May-2021,27.89,28,27.87,27.88,17600
AFGE,14-May-2021,26.54,26.54,26.42,26.4307,1100
AFI,14-May-2021,6.13,6.17,5.95,6.11,145500
AFL,14-May-2021,55.77,56.57,55.47,56.46,2273800
AFT,14-May-2021,15.4,15.4,15.25,15.25,38300
AG,14-May-2021,15.78,16.1,15.71,16,3437500
AGA.U,14-May-2021,9.98,9.98,9.98,9.98,21900
AGA.W,14-May-2021,0.44,0.44,0.43,0.44,91100
AGAC,14-May-2021,9.65,9.68,9.65,9.68,1700
AGCB,14-May-2021,10.26,10.31,10.25,10.28,60000
AGCO,14-May-2021,147.07,147.92,145.31,145.9,771200
AGD,14-May-2021,11.59,11.64,11.55,11.63,37200
AGI,14-May-2021,8.57,8.72,8.53,8.7,1092700
AGL,14-May-2021,29.59,30.82,29.26,29.96,251900
AGM,14-May-2021,102.37,103.31,100.05,103.16,30700
AGM-D,14-May-2021,26.64,26.64,26.53,26.6085,2500
AGM-E,14-May-2021,27.08,27.21,26.77,26.89,20500
AGM-F,14-May-2021,26.01,26.08,25.9,25.91,12600
AGO,14-May-2021,46.59,47.32,46.48,47.25,367100
AGO-B,14-May-2021,27.58,27.6,27.32,27.6,5100
AGO-E,14-May-2021,26.51,26.75,26.33,26.67,6100
AGO-F,14-May-2021,26.11,26.11,25.75,25.98,1000
AGR,14-May-2021,51.76,52.77,51.75,51.99,375400
AGRO,14-May-2021,9.75,10.38,9.67,10.08,2084400
AGS,14-May-2021,8.6,8.7,8.46,8.6,318700
AGTI,14-May-2021,14.17,14.47,13.56,13.67,346300
AGX,14-May-2021,48.94,49.59,48.78,49.5,37800
AHC,14-May-2021,2.02,2.02,1.95,1.97,61800
